reaction	EC	subsystem	kcat
GLNS	6.3.1.2	Glutamate Metabolism	NaN
GLNTRS	6.1.1.18	tRNA Charging	NaN
GLU5K	2.7.2.11	Arginine and Proline Metabolism	NaN
GLUCYS	6.3.2.2	Cofactor and Prosthetic Group Biosynthesis	NaN
GLUDC	4.1.1.15	Glutamate Metabolism	NaN
GLUDy	1.4.1.4	Glutamate Metabolism	NaN
GLUN	3.5.1.2	Glutamate Metabolism	NaN
GLUNpp	3.5.1.2	Glutamate Metabolism	NaN
GLUPRT	2.4.2.14	Purine and Pyrimidine Biosynthesis	NaN
GLUR	5.1.1.3	Cell Envelope Biosynthesis	NaN
GLUSy	1.4.1.13	Glutamate Metabolism	NaN
GLUTRR	1.2.1.70	Cofactor and Prosthetic Group Biosynthesis	NaN
GLUTRS	6.1.1.17	Cofactor and Prosthetic Group Biosynthesis	NaN
GLXCL	4.1.1.47	Glyoxylate Metabolism	NaN
GLYAT	2.3.1.29	Glycine and Serine Metabolism	NaN
GLYCDx	1.1.1.6	Alternate Carbon Metabolism	NaN
GLYCK	2.7.1.31	Glyoxylate Metabolism	NaN
GLYCK2	2.7.1.31	Glycine and Serine Metabolism	NaN
GLYCLTDy	1.1.1.26	Glyoxylate Metabolism	NaN
GLYK	2.7.1.30	Alternate Carbon Metabolism	NaN
GLYOX	3.1.2.6	Methylglyoxal Metabolism	NaN
GLYTRS	6.1.1.14	tRNA Charging	NaN
GMAND	4.2.1.47	Cell Envelope Biosynthesis	NaN
GMPR	1.7.1.7	Purine and Pyrimidine Biosynthesis	NaN
GMPS2	6.3.5.2	Purine and Pyrimidine Biosynthesis	NaN
GND	1.1.1.44	Pentose Phosphate Pathway	NaN
GNK	2.7.1.12	Alternate Carbon Metabolism	NaN
GPDDA1	3.1.4.46	Glycerophospholipid Metabolism	NaN
GPDDA1pp	3.1.4.46	Glycerophospholipid Metabolism	NaN
GPDDA2	3.1.4.46	Glycerophospholipid Metabolism	NaN
GPDDA2pp	3.1.4.46	Glycerophospholipid Metabolism	NaN
GPDDA3	3.1.4.46	Glycerophospholipid Metabolism	NaN
GPDDA3pp	3.1.4.46	Glycerophospholipid Metabolism	NaN
GPDDA4	3.1.4.46	Glycerophospholipid Metabolism	NaN
GPDDA4pp	3.1.4.46	Glycerophospholipid Metabolism	NaN
GPDDA5	3.1.4.46	Glycerophospholipid Metabolism	NaN
GPDDA5pp	3.1.4.46	Glycerophospholipid Metabolism	NaN
GRTT	2.5.1.10	Cofactor and Prosthetic Group Biosynthesis	NaN
GRXR	1.8.4.2	Unassigned	NaN
GSPMDA	3.5.1.78	Arginine and Proline Metabolism	NaN
GSPMDS	6.3.1.8	Arginine and Proline Metabolism	NaN
GTHOr	1.8.1.7	Cofactor and Prosthetic Group Biosynthesis	NaN
GTHPi	1.11.1.9	Unassigned	NaN
GTHS	6.3.2.3	Cofactor and Prosthetic Group Biosynthesis	NaN
GTPCI	3.5.4.16	Cofactor and Prosthetic Group Biosynthesis	NaN
GTPCII2	3.5.4.25	Cofactor and Prosthetic Group Biosynthesis	NaN
GTPDPDP	3.6.1.40	Cofactor and Prosthetic Group Biosynthesis	NaN
GTPDPK	2.7.6.5	Cofactor and Prosthetic Group Biosynthesis	NaN
GUACYC	4.6.1.2	Nucleotide Salvage Pathway	NaN
GUAD	3.5.4.3	Nucleotide Salvage Pathway	NaN
GUAPRT	2.4.2.8	Nucleotide Salvage Pathway	NaN
GUI1	5.3.1.12	Alternate Carbon Metabolism	NaN
GUI2	5.3.1.12	Alternate Carbon Metabolism	NaN
HACD1	1.1.1.35	Membrane Lipid Metabolism	NaN
HACD2	1.1.1.35	Membrane Lipid Metabolism	NaN
HACD3	1.1.1.35	Membrane Lipid Metabolism	NaN
HACD4	1.1.1.35	Membrane Lipid Metabolism	NaN
HACD5	1.1.1.35	Membrane Lipid Metabolism	NaN
HACD6	1.1.1.35	Membrane Lipid Metabolism	NaN
HACD7	1.1.1.35	Membrane Lipid Metabolism	NaN
HACD8	1.1.1.35	Membrane Lipid Metabolism	NaN
HCO3E	4.2.1.1	Unassigned	NaN
HCYSMT	2.1.1.10	Methionine Metabolism	NaN
HETZK	2.7.1.50	Cofactor and Prosthetic Group Biosynthesis	NaN
HEX1	2.7.1.2	Glycolysis/Gluconeogenesis	NaN
HEX4	2.7.1.7	Alternate Carbon Metabolism	NaN
HEX7	2.7.1.1	Alternate Carbon Metabolism	NaN
HISTD	1.1.1.23	Histidine Metabolism	NaN
HISTP	3.1.3.15	Histidine Metabolism	NaN
HISTRS	6.1.1.21	tRNA Charging	NaN
HMBS	4.3.1.8	Cofactor and Prosthetic Group Biosynthesis	NaN
HMPK1	2.7.1.49	Cofactor and Prosthetic Group Biosynthesis	NaN
HPPK2	2.7.6.3	Cofactor and Prosthetic Group Biosynthesis	NaN
HPPPNDO	1.13.11.16	Alternate Carbon Metabolism	NaN
HPYRI	5.3.1.22	Alternate Carbon Metabolism	NaN
HSDy	1.1.1.3	Threonine and Lysine Metabolism	NaN
HSK	2.7.1.39	Threonine and Lysine Metabolism	NaN
HSST	2.3.1.46	Methionine Metabolism	NaN
HSTPT	2.6.1.9	Histidine Metabolism	NaN
HXCT	2.8.3.8	Alternate Carbon Metabolism	NaN
HXPRT	2.4.2.8	Nucleotide Salvage Pathway	NaN
HYD1pp	1.18.99.1	Oxidative Phosphorylation	NaN
HYD2pp	1.18.99.1	Oxidative Phosphorylation	NaN
HYD3pp	1.18.99.1	Oxidative Phosphorylation	NaN
ICDHyr	1.1.1.42	Citric Acid Cycle	NaN
ICHORS	5.4.99.6	Cofactor and Prosthetic Group Biosynthesis	NaN
ICHORSi	5.4.4.2	Cofactor and Prosthetic Group Biosynthesis	NaN
ICHORT	3.3.2.1	Cofactor and Prosthetic Group Biosynthesis	NaN
ICL	4.1.3.1	Anaplerotic Reactions	NaN
IGPDH	4.2.1.19	Histidine Metabolism	NaN
IGPS	4.1.1.48	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
ILETA	2.6.1.42	Valine, Leucine, and Isoleucine Metabolism	NaN
ILETRS	6.1.1.5	tRNA Charging	NaN
IMPC	3.5.4.10	Purine and Pyrimidine Biosynthesis	NaN
IMPD	1.1.1.205	Purine and Pyrimidine Biosynthesis	NaN
INSH	3.2.2.8	Nucleotide Salvage Pathway	NaN
INSK	2.7.1.73	Nucleotide Salvage Pathway	NaN
IPDDI	5.3.3.2	Cofactor and Prosthetic Group Biosynthesis	NaN
IPMD	1.1.1.85	Valine, Leucine, and Isoleucine Metabolism	NaN
IPPMIa	4.2.1.33	Valine, Leucine, and Isoleucine Metabolism	NaN
IPPMIb	4.2.1.33	Valine, Leucine, and Isoleucine Metabolism	NaN
IPPS	4.1.3.12	Valine, Leucine, and Isoleucine Metabolism	NaN
KARA1	1.1.1.86	Valine, Leucine, and Isoleucine Metabolism	NaN
KARA2	1.1.1.86	Valine, Leucine, and Isoleucine Metabolism	NaN
KAS14	2.3.1.41	Membrane Lipid Metabolism	NaN
KDOCT2	2.7.7.38	Lipopolysaccharide Biosynthesis / Recycling	NaN
KDOPP	3.1.3.45	Lipopolysaccharide Biosynthesis / Recycling	NaN
KDOPS	2.5.1.55	Lipopolysaccharide Biosynthesis / Recycling	NaN
KG6PDC	4.1.1.85	Alternate Carbon Metabolism	NaN
L_LACD2	1.1.2.3	Oxidative Phosphorylation	NaN
L_LACD3	1.1.2.3	Oxidative Phosphorylation	NaN
LACZ	3.2.1.23	Alternate Carbon Metabolism	NaN
LACZpp	3.2.1.108	Alternate Carbon Metabolism	NaN
LALDO2x	1.1.1.21	Methylglyoxal Metabolism	NaN
LALDO3	1.1.1.21	Methylglyoxal Metabolism	NaN
LCADi	1.2.1.21	Alternate Carbon Metabolism	NaN
LCARR	1.1.1.77	Methylglyoxal Metabolism	NaN
LCARS	1.1.1.77	Alternate Carbon Metabolism	NaN
LDH_D	1.1.1.28	Pyruvate Metabolism	NaN
LDH_D2	1.1.2.4	Oxidative Phosphorylation	NaN
LEUTAi	2.6.1.42	Valine, Leucine, and Isoleucine Metabolism	NaN
LEUTRS	6.1.1.4	tRNA Charging	NaN
LGTHL	4.4.1.5	Methylglyoxal Metabolism	NaN
LIPOCT	2.3.1.181	Cofactor and Prosthetic Group Biosynthesis	NaN
LPADSS	2.4.1.182	Lipopolysaccharide Biosynthesis / Recycling	NaN
LPLIPAL1A120pp	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL1A140pp	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL1A141pp	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL1A160pp	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL1A161pp	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL1A180pp	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL1A181pp	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL1E120pp	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL1E140pp	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL1E141pp	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL1E160pp	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL1E161pp	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL1E180pp	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL1E181pp	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL1G120pp	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL1G140pp	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL1G141pp	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL1G160pp	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL1G161pp	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL1G180pp	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL1G181pp	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL2A120	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL2A140	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL2A141	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL2A160	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL2A161	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL2A180	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL2A181	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL2E120	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL2E140	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL2E141	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL2E160	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL2E161	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL2E180	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL2E181	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL2G120	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL2G140	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL2G141	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL2G160	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL2G161	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL2G180	3.1.1.5	Glycerophospholipid Metabolism	NaN
LPLIPAL2G181	3.1.1.5	Glycerophospholipid Metabolism	NaN
LSERDHr	1.1.1.298	Glycine and Serine Metabolism	NaN
LYSDC	4.1.1.18	Threonine and Lysine Metabolism	NaN
LYSTRS	6.1.1.6	tRNA Charging	NaN
M1PD	1.1.1.17	Alternate Carbon Metabolism	NaN
MALDDH	1.1.1.83	Alternate Carbon Metabolism	NaN
MALS	2.3.3.9	Anaplerotic Reactions	NaN
MALTATr	2.3.1.79	Alternate Carbon Metabolism	NaN
MAN1PT2	2.7.7.22	Cell Envelope Biosynthesis	NaN
MAN6PI	5.3.1.8	Alternate Carbon Metabolism	NaN
MANAO	1.1.1.57	Alternate Carbon Metabolism	NaN
MCITD	4.2.1.79	Alternate Carbon Metabolism	NaN
MCITL2	4.1.3.30	Alternate Carbon Metabolism	NaN
MCITS	2.3.3.5	Alternate Carbon Metabolism	NaN
MCOATA	2.3.1.39	Membrane Lipid Metabolism	NaN
MCPST	2.8.1.2	Cysteine Metabolism	NaN
MDDCP1pp	3.4.16.4	Murein Biosynthesis	NaN
MDDCP2pp	3.4.16.4	Murein Biosynthesis	NaN
MDDCP3pp	3.4.16.4	Murein Biosynthesis	NaN
MDDCP4pp	3.4.16.4	Murein Biosynthesis	NaN
MDDCP5pp	3.4.16.4	Murein Biosynthesis	NaN
MDH	1.1.1.37	Citric Acid Cycle	NaN
MDH2	1.1.99.16	Citric Acid Cycle	NaN
MDH3	1.1.99.16	Citric Acid Cycle	NaN
ME1	1.1.1.38	Anaplerotic Reactions	NaN
ME2	1.1.1.40	Anaplerotic Reactions	NaN
MEPCT	2.7.7.60	Cofactor and Prosthetic Group Biosynthesis	NaN
METAT	2.5.1.6	Methionine Metabolism	NaN
METS	2.1.1.13	Methionine Metabolism	NaN
METSOXR1	1.8.4.5	Methionine Metabolism	NaN
METTRS	6.1.1.10	tRNA Charging	NaN
MGSA	4.2.3.3	Methylglyoxal Metabolism	NaN
MI1PP	3.1.3.25	Cell Envelope Biosynthesis	NaN
MICITDr	4.2.1.99	Alternate Carbon Metabolism	NaN
MLDCP1App	3.4.17.13	Murein Biosynthesis	NaN
MLDCP1Bpp	3.4.17.13	Murein Biosynthesis	NaN
MLDCP2App	3.4.17.13	Murein Biosynthesis	NaN
MLDCP2Bpp	3.4.17.13	Murein Biosynthesis	NaN
MLDCP3App	3.4.17.13	Murein Biosynthesis	NaN
MMCD	4.1.1.41	Alternate Carbon Metabolism	NaN
MMM	5.4.99.2	Alternate Carbon Metabolism	NaN
MNNH	4.2.1.8	Alternate Carbon Metabolism	NaN
MOHMT	2.1.2.11	Cofactor and Prosthetic Group Biosynthesis	NaN
MOX	1.1.3.3	Citric Acid Cycle	NaN
MSAR	1.1.1.298	Nucleotide Salvage Pathway	NaN
MTAN	3.2.2.16	Arginine and Proline Metabolism	NaN
MTHFC	3.5.4.9	Folate Metabolism	NaN
MTHFD	1.5.1.5	Folate Metabolism	NaN
MTHFR2	1.5.1.20	Folate Metabolism	NaN
MTRPOX	1.5.3.2	Glycine and Serine Metabolism	NaN
NADDP	3.6.1.22	Cofactor and Prosthetic Group Biosynthesis	NaN
NADH10	1.6.5.3	Oxidative Phosphorylation	NaN
NADH16pp	1.6.5.3	Oxidative Phosphorylation	NaN
NADH17pp	1.6.5.3	Oxidative Phosphorylation	NaN
NADH18pp	1.6.5.3	Oxidative Phosphorylation	NaN
NADH5	1.6.5.3	Oxidative Phosphorylation	NaN
NADH9	1.6.5.3	Oxidative Phosphorylation	NaN
NADK	2.7.1.23	Cofactor and Prosthetic Group Biosynthesis	NaN
NADN	3.2.2.5	Cofactor and Prosthetic Group Biosynthesis	NaN
NADPHQR2	1.6.99.6	Oxidative Phosphorylation	NaN
NADPHQR3	1.6.99.6	Oxidative Phosphorylation	NaN
NADPHQR4	1.6.99.6	Oxidative Phosphorylation	NaN
NADS1	6.3.1.5	Cofactor and Prosthetic Group Biosynthesis	NaN
NAMNPP	2.4.2.11	Cofactor and Prosthetic Group Biosynthesis	NaN
NDPK1	2.7.4.6	Nucleotide Salvage Pathway	NaN
NDPK2	2.7.4.6	Nucleotide Salvage Pathway	NaN
NDPK3	2.7.4.6	Nucleotide Salvage Pathway	NaN
NDPK4	2.7.4.6	Nucleotide Salvage Pathway	NaN
NDPK5	2.7.4.6	Nucleotide Salvage Pathway	NaN
NDPK6	2.7.4.6	Nucleotide Salvage Pathway	NaN
NDPK7	2.7.4.6	Nucleotide Salvage Pathway	NaN
NDPK8	2.7.4.6	Nucleotide Salvage Pathway	NaN
NHFRBO	2.7.1.5	Nitrogen Metabolism	NaN
NMNAT	2.7.7.1	Cofactor and Prosthetic Group Biosynthesis	NaN
NMNDA	3.5.1.42	Cofactor and Prosthetic Group Biosynthesis	NaN
NMNN	3.2.2.14	Cofactor and Prosthetic Group Biosynthesis	NaN
NMNt7pp	3.2.2.14	Transport, Inner Membrane	NaN
NNAM	3.5.1.19	Cofactor and Prosthetic Group Biosynthesis	NaN
NNATr	2.7.7.18	Nucleotide Salvage Pathway	NaN
NNDPR	2.4.2.19	Cofactor and Prosthetic Group Biosynthesis	NaN
NO3R1bpp	1.7.99.4	Nitrogen Metabolism	NaN
NO3R1pp	1.7.99.4	Oxidative Phosphorylation	NaN
NO3R2bpp	1.7.99.4	Nitrogen Metabolism	NaN
NODOx	1.14.12.17	Nitrogen Metabolism	NaN
NODOy	1.14.12.17	Nitrogen Metabolism	NaN
NTD1	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD10	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD10pp	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD11	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD11pp	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD12	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD12pp	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD1pp	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD2	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD2pp	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD3	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD3pp	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD4	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD4pp	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD5	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD5pp	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD6	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD6pp	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD7	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD7pp	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD8	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD8pp	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD9	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTD9pp	3.1.3.5	Nucleotide Salvage Pathway	NaN
NTP1	3.6.1.15	Nucleotide Salvage Pathway	NaN
NTP10	3.6.1.15	Nucleotide Salvage Pathway	NaN
NTP11	3.6.1.15	Nucleotide Salvage Pathway	NaN
NTP12	3.6.1.15	Nucleotide Salvage Pathway	NaN
NTP3	3.6.1.15	Nucleotide Salvage Pathway	NaN
NTP3pp	3.6.1.15	Nucleotide Salvage Pathway	NaN
NTP5	3.6.1.15	Nucleotide Salvage Pathway	NaN
NTPP10	3.6.1.19	Nucleotide Salvage Pathway	NaN
NTPP11	3.6.1.19	Nucleotide Salvage Pathway	NaN
NTPP9	3.6.1.19	Nucleotide Salvage Pathway	NaN
NTPTP1	3.1.5.1	Nucleotide Salvage Pathway	NaN
NTPTP2	3.1.5.1	Nucleotide Salvage Pathway	NaN
OAADC	4.1.1.3	Pyruvate Metabolism	NaN
OBTFL	2.3.1.54	Alternate Carbon Metabolism	NaN
OCBT	2.1.3.3	Arginine and Proline Metabolism	NaN
OGMEACPD	4.2.1.59	Cofactor and Prosthetic Group Biosynthesis	NaN
OGMEACPR	1.1.1.100	Cofactor and Prosthetic Group Biosynthesis	NaN
OHPBAT	2.6.1.52	Cofactor and Prosthetic Group Biosynthesis	NaN
OMPDC	4.1.1.23	Purine and Pyrimidine Biosynthesis	NaN
OP4ENH	4.2.1.80	Alternate Carbon Metabolism	NaN
OPMEACPD	4.2.1.59	Cofactor and Prosthetic Group Biosynthesis	NaN
OPMEACPR	1.1.1.100	Cofactor and Prosthetic Group Biosynthesis	NaN
OPMEACPS	2.3.1.41	Cofactor and Prosthetic Group Biosynthesis	NaN
ORNDC	4.1.1.17	Arginine and Proline Metabolism	NaN
ORPT	2.4.2.10	Purine and Pyrimidine Biosynthesis	NaN
OXAMTC	2.1.3.5	Unassigned	NaN
OXCDC	4.1.1.8	Alternate Carbon Metabolism	NaN
P5CD	1.5.1.12	Arginine and Proline Metabolism	NaN
P5CR	1.5.1.2	Arginine and Proline Metabolism	NaN
PACCOAL	6.2.1.30	Alternate Carbon Metabolism	NaN
PANTS	6.3.2.1	Cofactor and Prosthetic Group Biosynthesis	NaN
PAPA120	3.1.3.4	Glycerophospholipid Metabolism	NaN
PAPA120pp	3.1.3.4	Glycerophospholipid Metabolism	NaN
PAPA140	3.1.3.4	Glycerophospholipid Metabolism	NaN
PAPA140pp	3.1.3.4	Glycerophospholipid Metabolism	NaN
PAPA141	3.1.3.4	Glycerophospholipid Metabolism	NaN
PAPA141pp	3.1.3.4	Glycerophospholipid Metabolism	NaN
PAPA160	3.1.3.4	Glycerophospholipid Metabolism	NaN
PAPA160pp	3.1.3.4	Glycerophospholipid Metabolism	NaN
PAPA161	3.1.3.4	Glycerophospholipid Metabolism	NaN
PAPA161pp	3.1.3.4	Glycerophospholipid Metabolism	NaN
PAPA180	3.1.3.4	Glycerophospholipid Metabolism	NaN
PAPA180pp	3.1.3.4	Glycerophospholipid Metabolism	NaN
PAPA181	3.1.3.4	Glycerophospholipid Metabolism	NaN
PAPA181pp	3.1.3.4	Glycerophospholipid Metabolism	NaN
PAPPT3	2.7.8.13	Cell Envelope Biosynthesis	NaN
PAPSR	1.8.4.8	Cysteine Metabolism	NaN
PAPSR2	1.8.4.8	Cysteine Metabolism	NaN
PDE1	3.1.4.17	Nucleotide Salvage Pathway	NaN
PDE4	3.1.4.17	Nucleotide Salvage Pathway	NaN
PDH	1.2.4.1	Glycolysis/Gluconeogenesis	NaN
PDX5POi	1.4.3.5	Cofactor and Prosthetic Group Biosynthesis	NaN
PEAMNOpp	1.4.3.21	Nitrogen Metabolism	NaN
PFK	2.7.1.11	Glycolysis/Gluconeogenesis	NaN
PFK_2	2.7.1.11	Alternate Carbon Metabolism	NaN
PFK_3	2.7.1.11	Pentose Phosphate Pathway	NaN
PFL	2.3.1.54	Pyruvate Metabolism	NaN
PGAMT	5.4.2.10	Cell Envelope Biosynthesis	NaN
PGCD	1.1.1.95	Glycine and Serine Metabolism	NaN
PGI	5.3.1.9	Glycolysis/Gluconeogenesis	NaN
PGK	2.7.2.3	Glycolysis/Gluconeogenesis	NaN
PGL	3.1.1.31	Pentose Phosphate Pathway	NaN
PGLYCP	3.1.3.18	Alternate Carbon Metabolism	NaN
PGM	5.4.2.1	Glycolysis/Gluconeogenesis	NaN
PGMT	5.4.2.2	Alternate Carbon Metabolism	NaN
PGPP120	3.1.3.27	Glycerophospholipid Metabolism	NaN
PGPP120pp	3.1.3.27	Glycerophospholipid Metabolism	NaN
PGPP140	3.1.3.27	Glycerophospholipid Metabolism	NaN
PGPP140pp	3.1.3.27	Glycerophospholipid Metabolism	NaN
PGPP141	3.1.3.27	Glycerophospholipid Metabolism	NaN
PGPP141pp	3.1.3.27	Glycerophospholipid Metabolism	NaN
PGPP160	3.1.3.27	Glycerophospholipid Metabolism	NaN
PGPP160pp	3.1.3.27	Glycerophospholipid Metabolism	NaN
PGPP161	3.1.3.27	Glycerophospholipid Metabolism	NaN
PGPP161pp	3.1.3.27	Glycerophospholipid Metabolism	NaN
PGPP180	3.1.3.27	Glycerophospholipid Metabolism	NaN
PGPP180pp	3.1.3.27	Glycerophospholipid Metabolism	NaN
PGPP181	3.1.3.27	Glycerophospholipid Metabolism	NaN
PGPP181pp	3.1.3.27	Glycerophospholipid Metabolism	NaN
PGSA120	2.7.8.5	Glycerophospholipid Metabolism	NaN
PGSA140	2.7.8.5	Glycerophospholipid Metabolism	NaN
PGSA141	2.7.8.5	Glycerophospholipid Metabolism	NaN
PGSA160	2.7.8.5	Glycerophospholipid Metabolism	NaN
PGSA161	2.7.8.5	Glycerophospholipid Metabolism	NaN
PGSA180	2.7.8.5	Glycerophospholipid Metabolism	NaN
PGSA181	2.7.8.5	Glycerophospholipid Metabolism	NaN
PHETA1	2.6.1.58	Tyrosine, Tryptophan, and Phenylalanine Metabolism	NaN
PHETRS	6.1.1.20	tRNA Charging	NaN
PLIPA1A120pp	3.1.1.32	Glycerophospholipid Metabolism	NaN
PLIPA1A140pp	3.1.1.32	Glycerophospholipid Metabolism	NaN
PLIPA1A141pp	3.1.1.32	Glycerophospholipid Metabolism	NaN
PLIPA1A160pp	3.1.1.32	Glycerophospholipid Metabolism	NaN
PLIPA1A161pp	3.1.1.32	Glycerophospholipid Metabolism	NaN
PLIPA1A180pp	3.1.1.32	Glycerophospholipid Metabolism	NaN
PLIPA1A181pp	3.1.1.32	Glycerophospholipid Metabolism	NaN
PLIPA1E120pp	3.1.1.32	Glycerophospholipid Metabolism	NaN
PLIPA1E140pp	3.1.1.32	Glycerophospholipid Metabolism	NaN
PLIPA1E141pp	3.1.1.32	Glycerophospholipid Metabolism	NaN
PLIPA1E160pp	3.1.1.32	Glycerophospholipid Metabolism	NaN
PLIPA1E161pp	3.1.1.32	Glycerophospholipid Metabolism	NaN
PLIPA1E180pp	3.1.1.32	Glycerophospholipid Metabolism	NaN
PLIPA1E181pp	3.1.1.32	Glycerophospholipid Metabolism	NaN
PLIPA1G120pp	3.1.1.32	Glycerophospholipid Metabolism	NaN
PLIPA1G140pp	3.1.1.32	Glycerophospholipid Metabolism	NaN
PLIPA1G141pp	3.1.1.32	Glycerophospholipid Metabolism	NaN
PLIPA1G160pp	3.1.1.32	Glycerophospholipid Metabolism	NaN
PLIPA1G161pp	3.1.1.32	Glycerophospholipid Metabolism	NaN
PLIPA1G180pp	3.1.1.32	Glycerophospholipid Metabolism	NaN
PLIPA1G181pp	3.1.1.32	Glycerophospholipid Metabolism	NaN
PLIPA2A120pp	3.1.1.4	Glycerophospholipid Metabolism	NaN
PLIPA2A140pp	3.1.1.4	Glycerophospholipid Metabolism	NaN
PLIPA2A141pp	3.1.1.4	Glycerophospholipid Metabolism	NaN
PLIPA2A160pp	3.1.1.4	Glycerophospholipid Metabolism	NaN
PLIPA2A161pp	3.1.1.4	Glycerophospholipid Metabolism	NaN
PLIPA2A180pp	3.1.1.4	Glycerophospholipid Metabolism	NaN
PLIPA2A181pp	3.1.1.4	Glycerophospholipid Metabolism	NaN
PLIPA2E120pp	3.1.1.4	Glycerophospholipid Metabolism	NaN
PLIPA2E140pp	3.1.1.4	Glycerophospholipid Metabolism	NaN
PLIPA2E141pp	3.1.1.4	Glycerophospholipid Metabolism	NaN
PLIPA2E160pp	3.1.1.4	Glycerophospholipid Metabolism	NaN
PLIPA2E161pp	3.1.1.4	Glycerophospholipid Metabolism	NaN
PLIPA2E180pp	3.1.1.4	Glycerophospholipid Metabolism	NaN
PLIPA2E181pp	3.1.1.4	Glycerophospholipid Metabolism	NaN
PLIPA2G120pp	3.1.1.4	Glycerophospholipid Metabolism	NaN
PLIPA2G140pp	3.1.1.4	Glycerophospholipid Metabolism	NaN
PLIPA2G141pp	3.1.1.4	Glycerophospholipid Metabolism	NaN
PLIPA2G160pp	3.1.1.4	Glycerophospholipid Metabolism	NaN
PLIPA2G161pp	3.1.1.4	Glycerophospholipid Metabolism	NaN
PLIPA2G180pp	3.1.1.4	Glycerophospholipid Metabolism	NaN
PLIPA2G181pp	3.1.1.4	Glycerophospholipid Metabolism	NaN
PMANM	5.4.2.8	Alternate Carbon Metabolism	NaN
PMPK	2.7.4.7	Cofactor and Prosthetic Group Biosynthesis	NaN
